label,episodes,force_band,checkpoint,episode_len_mean,episode_len_std,episode_time_s_mean,episode_time_s_std,targets_cleared_mean,targets_cleared_std,task_success_mean,task_success_std,task_percentage_mean,task_percentage_std,coverage_span_norm_mean,coverage_span_norm_std,coverage_length_m_mean,coverage_length_m_std,contact_time_s_mean,contact_time_s_std,contact_time_fraction_mean,contact_time_fraction_std,wipe_time_s_mean,wipe_time_s_std,wipe_step_fraction_mean,wipe_step_fraction_std,mean_contact_force_mean,mean_contact_force_std,median_contact_force_mean,median_contact_force_std,p95_contact_force_mean,p95_contact_force_std,peak_contact_force_mean,peak_contact_force_std,force_std_mean,force_std_std,in_band_force_fraction_mean,in_band_force_fraction_std,pass_completions_mean,pass_completions_std,sweep_consistency_mean,sweep_consistency_std,clear_spatial_order_mean,clear_spatial_order_std,clear_s_coverage_mean,clear_s_coverage_std,clear_t_coverage_mean,clear_t_coverage_std,second_half_frac_mean,second_half_frac_std,productive_frac_mean,productive_frac_std,stall_frac_mean,stall_frac_std,mean_stroke_len_mean,mean_stroke_len_std,n_contact_bouts_mean,n_contact_bouts_std,slide_frac_mean,slide_frac_std,action_effort_mean,action_effort_std,action_smoothness_mean,action_smoothness_std,terminated_drift_mean,terminated_drift_std,n_clears_mean,n_clears_std
AstyO_s3_upperarm_front,100,"[2.0,12.0]",student_style_4r_s3.pt,147.36,7.0817,14.736,0.7082,6.8,2.9086,0.0,0.0,28.3323,12.1187,0.5189,0.186,0.0851,0.0305,10.393,4.1979,0.6962,0.2747,12.594,4.0593,0.8464,0.2617,1.7021,1.6838,0.1034,0.4822,4.8119,9.4228,71.0598,70.0928,7.7345,7.7818,0.1579,0.1131,0.76,0.4271,0.1732,0.0823,0.699,0.1394,0.4078,0.1067,0.4267,0.1209,0.3008,0.145,0.304,0.1095,0.7234,0.1214,4.0129,1.8321,1.73,0.7329,0.3084,0.1439,0.6243,0.0442,0.0212,0.0054,0.14,0.347,4.81,2.134
AstyY_s3_forearm_back,100,"[2.0,12.0]",student_style_4r_s3.pt,148.07,4.6417,14.807,0.4642,6.94,2.1486,0.0,0.0,46.2674,14.3246,0.6793,0.1948,0.1114,0.0319,6.961,3.0433,0.4673,0.1995,10.138,2.7619,0.6824,0.1772,1.567,1.6236,0.0252,0.2045,3.9042,3.8605,55.4719,67.3435,7.202,8.4937,0.103,0.0953,0.57,0.5702,0.1898,0.1106,0.7748,0.1797,0.307,0.121,0.297,0.1081,0.0333,0.0818,0.3609,0.1365,0.5954,0.157,4.0382,1.5217,1.94,0.7592,0.4654,0.1499,0.4301,0.037,0.0114,0.003,0.22,0.4142,3.79,1.5251
AstyY_s3_forearm_front,100,"[2.0,12.0]",student_style_4r_s3.pt,149.44,2.8542,14.944,0.2854,8.5,1.8248,0.01,0.0995,56.6677,12.1666,0.8604,0.1982,0.1411,0.0325,12.909,3.2509,0.862,0.214,13.329,2.7984,0.8905,0.1827,1.9122,0.8312,0.6008,0.9227,5.0782,1.9264,54.6611,43.3104,5.7913,4.2058,0.2997,0.1618,1.42,0.7096,0.2557,0.1083,0.6134,0.0953,0.4778,0.1194,0.3939,0.0983,0.1209,0.0957,0.2718,0.069,0.65,0.09,6.3936,2.3562,1.06,0.2764,0.3807,0.0945,0.4239,0.0406,0.0106,0.0019,0.05,0.2179,5.63,1.6288
AstyY_s3_upperarm_back,100,"[2.0,12.0]",student_style_4r_s3.pt,149.87,0.6731,14.987,0.0673,7.37,2.0428,0.0,0.0,30.708,8.5111,0.6687,0.1577,0.1097,0.0259,9.356,2.8321,0.6241,0.1884,11.843,2.3291,0.79,0.1546,1.6855,0.9702,0.008,0.0596,3.8489,2.3389,74.6433,55.9982,8.7981,6.6675,0.111,0.0916,0.59,0.4918,0.2113,0.0595,0.6802,0.155,0.414,0.1349,0.393,0.1098,0.205,0.1872,0.3866,0.0982,0.585,0.1077,4.4478,1.1459,1.87,0.8081,0.4833,0.1139,0.4701,0.0326,0.0157,0.0028,0.04,0.196,5.3,1.8193
AstyY_s3_upperarm_front,100,"[2.0,12.0]",student_style_4r_s3.pt,149.71,2.0895,14.971,0.2089,5.76,2.612,0.0,0.0,24.0014,10.8832,0.4964,0.1806,0.0814,0.0296,9.127,3.6689,0.6089,0.2439,11.246,3.4738,0.7507,0.2305,1.716,1.0121,0.0091,0.0801,4.482,2.8998,72.2848,56.855,8.1933,6.0224,0.1339,0.1029,0.84,0.3666,0.1324,0.065,0.6665,0.1282,0.3184,0.067,0.3241,0.0742,0.0216,0.0665,0.2338,0.1143,0.7784,0.1229,3.5831,1.8342,1.71,0.6971,0.2335,0.1295,0.4716,0.0785,0.0096,0.0026,0.02,0.14,3.26,1.5338
Tours_s3_forearm_back,200,"[2.0,12.0]",trained_models/auto/ours_pc2_forearm_back_s3/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,6.035,1.3542,0.0,0.0,40.233,9.0273,0.5742,0.1342,0.0942,0.022,7.762,3.2899,0.5175,0.2193,10.549,2.6159,0.7033,0.1744,1.4508,1.2216,0.1602,0.592,3.297,2.8378,45.9908,52.5083,5.8817,6.6377,0.1573,0.163,0.165,0.3712,0.1471,0.1092,0.819,0.1951,0.2675,0.0927,0.2725,0.0948,0.0351,0.095,0.301,0.1173,0.5783,0.1683,4.6476,1.5646,1.845,0.5486,0.4815,0.1582,0.4056,0.0513,0.0098,0.002,0.0,0.0,3.16,1.2627
Tyubik_s3_forearm_back,200,"[2.0,12.0]",trained_models/auto/baseline_rl_s3/BEST/checkpoint_000014/checkpoint-14,149.99,0.1411,14.999,0.0141,7.22,2.1241,0.005,0.0705,48.1336,14.1612,0.6999,0.1729,0.1148,0.0283,7.05,2.9618,0.47,0.1975,10.2045,2.6143,0.6804,0.1744,1.7338,1.3903,0.0,0.0,3.895,2.8213,62.6487,63.5677,8.2044,8.2883,0.1244,0.0877,0.455,0.555,0.1871,0.1018,0.7827,0.1785,0.323,0.119,0.3055,0.1059,0.0415,0.092,0.3681,0.1115,0.5795,0.1411,3.8922,1.3233,1.965,0.7168,0.4758,0.1403,0.4251,0.0272,0.0113,0.0026,0.0,0.0,3.84,1.5538
Bflat_s3_forearm_back,200,"[2.0,12.0]",trained_models/auto/flat_pc24_s3/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,3.69,1.3243,0.0,0.0,24.6,8.8297,0.4428,0.2017,0.0726,0.0331,3.051,1.8897,0.2034,0.126,5.935,1.0965,0.3957,0.0731,0.6886,1.5047,0.0,0.0,0.8852,3.1167,22.7148,51.5972,3.6156,7.9147,0.0093,0.0301,0.21,0.4073,0.129,0.0994,0.8727,0.1993,0.1615,0.0835,0.155,0.0669,0.0031,0.026,0.375,0.164,0.7007,0.1536,3.1086,1.7994,1.745,0.5916,0.3233,0.1623,0.6618,0.086,0.0096,0.0052,0.0,0.0,1.815,1.082
Tours_s3_forearm_front,200,"[2.0,12.0]",trained_models/auto/ours_pc2_forearm_front_s3/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,4.35,0.8761,0.0,0.0,28.9987,5.8388,0.5954,0.0507,0.0977,0.0083,8.033,2.4291,0.5355,0.1619,9.341,1.9618,0.6227,0.1308,1.6741,1.0746,0.0348,0.26,4.8195,1.5386,52.3132,58.1373,6.4596,6.6241,0.1871,0.0997,0.99,0.0995,0.2349,0.0825,0.7031,0.1695,0.3337,0.0822,0.306,0.0699,0.001,0.0141,0.305,0.0906,0.6522,0.1376,5.9818,1.7275,1.255,0.5291,0.3675,0.1286,0.285,0.0131,0.0058,0.0012,0.0,0.0,3.34,0.8511
Tyubik_s3_forearm_front,200,"[2.0,12.0]",trained_models/auto/yubik_front_s3/BEST/checkpoint_000014/checkpoint-14,149.97,0.4232,14.997,0.0423,7.005,2.0384,0.005,0.0705,46.6992,13.5909,0.7145,0.1859,0.1172,0.0305,10.1415,4.0812,0.6763,0.2723,11.0925,3.4786,0.7397,0.2321,1.8158,0.9775,0.4468,0.7086,5.1286,1.8848,53.9137,55.4421,6.1718,5.7124,0.2401,0.1241,1.04,0.6844,0.217,0.0973,0.7031,0.177,0.4593,0.1507,0.3342,0.1039,0.073,0.1039,0.3087,0.096,0.6416,0.114,6.3995,2.6808,1.195,0.3962,0.3937,0.1223,0.4208,0.0312,0.0085,0.0018,0.0,0.0,5.335,1.8662
Bflat_s3_forearm_front,200,"[2.0,12.0]",trained_models/auto/flat_pc24_s3/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,5.03,1.3635,0.0,0.0,33.5332,9.0903,0.4488,0.1673,0.0736,0.0274,4.519,0.9925,0.3013,0.0662,5.574,0.0923,0.3716,0.0061,1.1851,1.7764,0.0,0.0,0.5699,1.1676,46.7512,63.1586,7.1059,9.9307,0.0189,0.0295,0.475,0.4994,0.228,0.1123,0.8011,0.2181,0.2583,0.0784,0.2156,0.0363,0.0,0.0,0.3962,0.129,0.6755,0.1209,3.5883,0.8212,1.205,0.4159,0.3467,0.119,0.7071,0.0911,0.0152,0.0039,0.0,0.0,3.12,0.9411
Tours_s3_upperarm_back,200,"[2.0,12.0]",trained_models/auto/ours_pc2_upperarm_back_s3/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,6.62,1.8962,0.0,0.0,27.5831,7.9001,0.578,0.1174,0.0948,0.0193,9.5055,3.2488,0.6337,0.2166,11.525,2.4321,0.7683,0.1621,1.6223,1.1222,0.0888,0.3307,3.3446,2.0112,65.6365,64.8891,7.6094,7.3752,0.1666,0.1251,0.32,0.4665,0.1429,0.0786,0.7007,0.1662,0.3705,0.1232,0.397,0.1224,0.1762,0.1549,0.3739,0.1148,0.6431,0.1243,4.6384,1.5854,1.63,0.6108,0.4332,0.1266,0.4957,0.0286,0.0151,0.0033,0.0,0.0,5.055,1.6619
Tyubik_s3_upperarm_back,200,"[2.0,12.0]",trained_models/auto/yubik_upperarm_back_s3/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,7.22,2.0668,0.0,0.0,30.0831,8.6115,0.6672,0.1436,0.1094,0.0236,9.955,2.7859,0.6637,0.1857,12.53,2.3768,0.8353,0.1585,1.6755,1.047,0.0243,0.1845,4.1413,2.71,76.6577,59.0043,8.6427,6.605,0.1159,0.0898,0.56,0.4964,0.2021,0.0744,0.6736,0.1537,0.4135,0.1252,0.4125,0.1131,0.2343,0.1819,0.3753,0.1007,0.6145,0.1047,4.3189,1.0778,1.95,0.8411,0.4516,0.119,0.4589,0.0403,0.0159,0.0027,0.0,0.0,5.35,1.6845
Bflat_s3_upperarm_back,200,"[2.0,12.0]",trained_models/auto/flat_pc24_s3/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,6.35,1.5484,0.0,0.0,26.4585,6.4513,0.563,0.1298,0.0923,0.0213,7.9245,2.5149,0.5283,0.1677,10.2155,1.9744,0.681,0.1316,1.5679,1.2645,0.0,0.0007,3.736,2.6104,69.3522,66.6208,8.629,8.4371,0.087,0.0642,0.665,0.5028,0.2582,0.0835,0.7213,0.163,0.3755,0.1402,0.3705,0.117,0.1007,0.1458,0.4119,0.1125,0.5882,0.1338,4.7754,1.8266,1.73,0.7727,0.4634,0.1357,0.4991,0.043,0.0467,0.0508,0.0,0.0,4.875,1.6521
Tours_s3_upperarm_front,200,"[2.0,12.0]",trained_models/auto/ours_pc2_upperarm_front_s3/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,5.57,3.096,0.0,0.0,23.2083,12.8998,0.465,0.204,0.0763,0.0335,8.8895,4.4779,0.5926,0.2985,11.709,4.4114,0.7806,0.2941,1.9772,1.9254,0.2497,0.7184,5.0074,6.4719,65.9489,70.0919,7.9304,8.8531,0.1778,0.1512,0.745,0.4359,0.1398,0.08,0.7316,0.1646,0.3579,0.1265,0.3836,0.1362,0.2399,0.1703,0.2867,0.1413,0.7698,0.1332,3.4134,1.8758,1.955,0.7021,0.2555,0.1512,0.5334,0.0494,0.0153,0.0049,0.0,0.0,4.035,2.3924
Tyubik_s3_upperarm_front,200,"[2.0,12.0]",trained_models/auto/yubik_upperarm_front_s3/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,4.9,2.6,0.0,0.0,20.4183,10.8338,0.4833,0.1687,0.0793,0.0277,7.4665,3.5864,0.4978,0.2391,10.4965,3.5045,0.6998,0.2336,2.0863,1.7448,0.0645,0.3244,4.4969,4.2657,73.8939,71.2564,9.4224,8.9202,0.1456,0.1341,0.81,0.3923,0.138,0.0669,0.7101,0.1925,0.2942,0.0814,0.3029,0.0776,0.0288,0.0808,0.2604,0.1473,0.7527,0.1476,3.581,1.7334,2.165,0.7732,0.2635,0.1477,0.4401,0.0738,0.0083,0.0023,0.0,0.0,2.79,1.4649
Bflat_s3_upperarm_front,200,"[2.0,12.0]",trained_models/auto/flat_pc24_s3/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,3.67,1.8306,0.0,0.0,15.2918,7.6273,0.397,0.1748,0.0651,0.0287,3.9235,2.2524,0.2616,0.1502,6.9765,2.5977,0.4651,0.1732,1.8554,2.3359,0.0113,0.132,4.5751,7.0246,50.4296,62.8427,8.4408,10.6562,0.0545,0.0669,0.78,0.4142,0.1942,0.0969,0.8477,0.1977,0.2538,0.0839,0.248,0.0615,0.0,0.0,0.417,0.2382,0.6105,0.1984,3.4476,1.6973,1.965,0.6736,0.3842,0.2071,0.5533,0.0488,0.0168,0.0173,0.0,0.0,2.71,1.4477
Ascr_forearm_back,100,"[2.0,12.0]",student_scripted_4r.pt,150.0,0.0,15.0,0.0,6.18,1.5452,0.0,0.0,41.1998,10.3016,0.6656,0.0679,0.1092,0.0111,5.702,2.6088,0.3801,0.1739,9.48,2.9152,0.632,0.1944,2.3009,1.9888,0.0589,0.3439,3.5303,3.5932,85.8428,92.3648,11.9809,12.0251,0.1032,0.1178,0.46,0.4984,0.1221,0.0955,0.983,0.0834,0.288,0.0962,0.22,0.06,0.0,0.0,0.3578,0.1572,0.6984,0.1492,4.0385,1.7134,2.17,0.7079,0.3127,0.1548,0.5006,0.0363,0.0061,0.0016,0.0,0.0,3.22,1.1187
Ascr_forearm_front,100,"[2.0,12.0]",student_scripted_4r.pt,150.0,0.0,15.0,0.0,6.0,1.6852,0.0,0.0,39.9996,11.2331,0.694,0.0577,0.1138,0.0095,6.249,0.8106,0.4166,0.054,7.412,0.9562,0.4941,0.0637,1.1631,1.2949,0.0,0.0,1.1006,1.7099,58.7948,71.6241,7.6545,9.2443,0.029,0.061,0.01,0.0995,0.0216,0.0361,1.0,0.0,0.367,0.1001,0.257,0.0552,0.006,0.0443,0.3275,0.0661,0.7327,0.0432,4.2533,0.5868,1.35,0.6062,0.2769,0.0448,0.4575,0.0249,0.0068,0.0011,0.0,0.0,4.09,1.1584
Ascr_upperarm_back,100,"[2.0,12.0]",student_scripted_4r.pt,150.0,0.0,15.0,0.0,4.33,1.0868,0.0,0.0,18.0413,4.5274,0.5624,0.116,0.0922,0.019,5.796,2.5965,0.3864,0.1731,7.455,2.5384,0.497,0.1692,1.1681,1.767,0.0,0.0,1.1271,2.2133,48.7416,68.2368,7.0561,10.1261,0.0189,0.0265,0.0,0.0,0.0174,0.0121,1.0,0.0,0.263,0.1092,0.23,0.05,0.0,0.0,0.3524,0.1196,0.6941,0.1118,4.4405,1.1814,2.33,0.9804,0.3283,0.1085,0.5486,0.0441,0.009,0.0015,0.0,0.0,3.28,0.9806
Ascr_upperarm_front,100,"[2.0,12.0]",student_scripted_4r.pt,134.5,18.847,13.45,1.8847,3.69,1.5407,0.0,0.0,15.3747,6.4202,0.6276,0.1867,0.1029,0.0306,4.148,2.0237,0.3071,0.1347,5.88,1.8188,0.443,0.1267,0.4616,1.0074,0.0158,0.1571,0.4159,2.0875,16.8552,36.4012,2.5432,5.4577,0.0101,0.0458,0.0,0.0,0.0139,0.0172,1.0,0.0,0.2447,0.1027,0.1979,0.0699,0.0426,0.2018,0.3253,0.1482,0.6267,0.1575,4.2917,1.4794,1.88,0.828,0.3771,0.1636,0.4819,0.0528,0.0048,0.0015,0.44,0.4964,2.4,1.2329
