label,episodes,force_band,checkpoint,episode_len_mean,episode_len_std,episode_time_s_mean,episode_time_s_std,targets_cleared_mean,targets_cleared_std,task_success_mean,task_success_std,task_percentage_mean,task_percentage_std,coverage_span_norm_mean,coverage_span_norm_std,coverage_length_m_mean,coverage_length_m_std,contact_time_s_mean,contact_time_s_std,contact_time_fraction_mean,contact_time_fraction_std,wipe_time_s_mean,wipe_time_s_std,wipe_step_fraction_mean,wipe_step_fraction_std,mean_contact_force_mean,mean_contact_force_std,median_contact_force_mean,median_contact_force_std,p95_contact_force_mean,p95_contact_force_std,peak_contact_force_mean,peak_contact_force_std,force_std_mean,force_std_std,in_band_force_fraction_mean,in_band_force_fraction_std,pass_completions_mean,pass_completions_std,sweep_consistency_mean,sweep_consistency_std,clear_spatial_order_mean,clear_spatial_order_std,clear_s_coverage_mean,clear_s_coverage_std,clear_t_coverage_mean,clear_t_coverage_std,second_half_frac_mean,second_half_frac_std,productive_frac_mean,productive_frac_std,stall_frac_mean,stall_frac_std,mean_stroke_len_mean,mean_stroke_len_std,n_contact_bouts_mean,n_contact_bouts_std,slide_frac_mean,slide_frac_std,action_effort_mean,action_effort_std,action_smoothness_mean,action_smoothness_std,terminated_drift_mean,terminated_drift_std,n_clears_mean,n_clears_std
Aours_s2_forearm_back,100,"[2.0,12.0]",student_ours_4r_s2.pt,148.22,5.2566,14.822,0.5257,6.1,2.2204,0.0,0.0,40.666,14.8023,0.5948,0.1854,0.0975,0.0304,6.858,3.8313,0.4587,0.2543,9.841,3.0103,0.6615,0.1952,1.2235,1.0974,0.0969,0.3909,3.0036,2.3293,38.5168,53.8209,4.7448,5.8753,0.1596,0.1297,0.3,0.4583,0.1284,0.0862,0.7955,0.1998,0.261,0.1256,0.25,0.1072,0.0476,0.0948,0.3233,0.145,0.6707,0.1283,3.8747,1.5925,1.8,0.6164,0.3801,0.1288,0.4211,0.0548,0.012,0.0087,0.12,0.325,2.97,1.4591
Aours_s2_forearm_front,100,"[2.0,12.0]",student_ours_4r_s2.pt,150.0,0.0,15.0,0.0,6.56,1.0131,0.0,0.0,43.7334,6.7545,0.6815,0.1465,0.1118,0.024,11.369,2.1985,0.7579,0.1466,12.385,2.0299,0.8257,0.1353,1.9008,1.275,0.0748,0.2922,5.2553,4.3642,74.749,97.4532,7.8504,8.8847,0.2211,0.1229,1.0,0.469,0.2171,0.0786,0.6927,0.1257,0.363,0.0891,0.346,0.0655,0.0649,0.0786,0.2637,0.0488,0.6308,0.1105,5.6902,1.7116,1.26,0.5407,0.4066,0.1121,0.4575,0.0328,0.0148,0.0021,0.0,0.0,4.66,0.9297
Aours_s2_upperarm_back,100,"[2.0,12.0]",student_ours_4r_s2.pt,149.63,1.5916,14.963,0.1592,7.28,1.7781,0.0,0.0,30.3338,7.4092,0.6309,0.1629,0.1035,0.0267,9.107,2.9579,0.6085,0.1967,11.587,2.3482,0.774,0.1548,1.4921,1.078,0.0704,0.3346,4.5051,3.451,61.5863,60.5672,7.2805,6.8955,0.1059,0.0932,0.62,0.5056,0.202,0.0994,0.7419,0.18,0.366,0.1251,0.36,0.102,0.1053,0.1396,0.369,0.1275,0.6726,0.1555,4.7349,2.1239,1.74,0.7566,0.3745,0.1637,0.4967,0.1185,0.0238,0.0125,0.07,0.2551,4.94,1.6901
Aours_s2_upperarm_front,100,"[2.0,12.0]",student_ours_4r_s2.pt,147.07,7.9853,14.707,0.7985,4.56,2.662,0.0,0.0,18.9998,11.092,0.4267,0.2141,0.07,0.0351,7.271,3.9922,0.4857,0.2648,9.638,4.09,0.6452,0.2687,1.6469,1.6249,0.0046,0.0455,4.7154,5.3369,56.2665,65.8696,7.3507,8.2593,0.1076,0.0926,0.74,0.4609,0.2025,0.1313,0.704,0.1579,0.3085,0.1073,0.3329,0.122,0.1074,0.1275,0.2682,0.1431,0.6724,0.1791,3.7747,2.0836,1.89,0.8933,0.3427,0.2013,0.4528,0.0635,0.0109,0.004,0.17,0.3756,3.4,2.1726
Ayubik_s2_forearm_back,100,"[2.0,12.0]",student_yubik_4r_s2.pt,146.34,6.5639,14.634,0.6564,5.65,1.6515,0.0,0.0,37.6664,11.0092,0.6426,0.1729,0.1054,0.0284,6.239,2.9363,0.4215,0.191,9.064,2.0824,0.6172,0.1286,1.1332,1.1919,0.0006,0.0056,2.964,2.6354,33.8665,47.3826,4.7726,6.4955,0.1024,0.1014,0.52,0.5192,0.1755,0.1073,0.782,0.2143,0.262,0.1206,0.262,0.1093,0.0506,0.1193,0.3515,0.1366,0.4976,0.1466,5.7127,2.5015,1.88,0.621,0.5504,0.1401,0.4065,0.045,0.0091,0.0034,0.3,0.4583,2.95,1.3883
Ayubik_s2_forearm_front,100,"[2.0,12.0]",student_yubik_4r_s2.pt,149.52,2.7981,14.952,0.2798,7.72,2.2851,0.0,0.0,51.4674,15.2347,0.77,0.2178,0.1263,0.0357,10.817,2.8683,0.7225,0.189,12.019,2.523,0.8028,0.1651,1.9807,1.342,0.2448,0.5318,4.6192,3.5781,67.8908,85.0908,7.3405,8.0772,0.2466,0.1401,1.38,0.6896,0.3143,0.1503,0.6402,0.1179,0.4639,0.1348,0.3825,0.114,0.1587,0.1199,0.3075,0.103,0.5676,0.1469,7.7832,2.8839,1.38,0.5618,0.4561,0.1505,0.4457,0.0467,0.016,0.005,0.03,0.1706,5.27,1.9383
Ayubik_s2_upperarm_back,100,"[2.0,12.0]",student_yubik_4r_s2.pt,148.33,3.6934,14.833,0.3693,6.29,1.7105,0.0,0.0,26.2083,7.1265,0.5362,0.1258,0.0879,0.0206,6.96,2.5193,0.468,0.1658,9.915,1.694,0.6675,0.1073,1.2831,1.389,0.0427,0.3031,2.8706,2.096,58.563,69.5432,7.1229,8.4022,0.0899,0.0951,0.32,0.4665,0.163,0.0838,0.7497,0.18,0.333,0.1158,0.319,0.0987,0.0854,0.1202,0.379,0.1125,0.6722,0.1212,3.6585,1.2731,1.85,0.7124,0.383,0.137,0.459,0.0526,0.0132,0.0024,0.24,0.4271,4.18,1.3739
Ayubik_s2_upperarm_front,100,"[2.0,12.0]",student_yubik_4r_s2.pt,150.0,0.0,15.0,0.0,6.74,2.6024,0.0,0.0,28.0834,10.8429,0.553,0.1828,0.0907,0.03,8.197,2.6301,0.5465,0.1753,11.025,2.5836,0.735,0.1722,1.7284,1.251,0.0,0.0,4.1295,3.1787,76.5245,63.8733,9.1148,7.5321,0.1034,0.0927,0.7,0.4583,0.2065,0.0874,0.6864,0.1533,0.3598,0.1143,0.3902,0.1152,0.164,0.1416,0.3453,0.1418,0.5377,0.1835,4.3555,1.7172,2.02,0.7481,0.4973,0.1923,0.5606,0.0791,0.0122,0.0036,0.0,0.0,4.31,1.9884
Agen_s2_forearm_back,100,"[2.0,12.0]",student_gen_4r_s2.pt,145.84,7.8304,14.584,0.783,5.72,1.8498,0.0,0.0,38.1329,12.3312,0.568,0.1479,0.0932,0.0243,6.279,3.5051,0.4246,0.2289,9.311,2.9207,0.6347,0.1835,1.3245,1.2279,0.0392,0.2193,3.0713,2.7675,43.7921,50.8136,5.5909,6.2715,0.1333,0.1258,0.22,0.46,0.12,0.1007,0.7249,0.1983,0.235,0.1117,0.248,0.117,0.0474,0.1045,0.3243,0.1415,0.6282,0.1667,4.2293,1.7862,1.93,0.6672,0.4186,0.1658,0.3951,0.0461,0.0097,0.0033,0.3,0.4583,2.78,1.4253
Agen_s2_forearm_front,100,"[2.0,12.0]",student_gen_4r_s2.pt,149.31,3.2209,14.931,0.3221,6.68,1.9281,0.01,0.0995,44.5331,12.8542,0.6586,0.2115,0.108,0.0347,12.228,2.4972,0.8178,0.1643,13.326,2.1689,0.8913,0.1405,2.3685,2.1744,0.3215,0.8382,6.6825,6.952,84.8033,89.2992,8.653,8.5237,0.2409,0.1592,1.0,0.6481,0.1727,0.1288,0.6454,0.0976,0.3812,0.0893,0.3479,0.089,0.0715,0.113,0.2355,0.0822,0.735,0.1432,4.8814,2.898,1.41,0.5309,0.3102,0.1582,0.4473,0.0615,0.0133,0.0033,0.04,0.196,4.58,1.5243
